info: listening on 127.0.0.1:8080
info(Server): 127.0.0.1:58384 deinit in write
info(Server): 127.0.0.1:58386 deinit in write
info(Server): 127.0.0.1:58408 deinit in write
info(Server): 127.0.0.1:58414 deinit in write
info(Server): 127.0.0.1:58428 deinit in write
info(Server): 127.0.0.1:58432 deinit in write
info(Server): 127.0.0.1:58446 deinit in write
info(Server): 127.0.0.1:58460 deinit in write
info(Server): 127.0.0.1:58466 deinit in write
info(Server): 127.0.0.1:58478 deinit in write
info(Server): 127.0.0.1:58488 deinit in write
info(Server): 127.0.0.1:58490 deinit in write
info(Server): 127.0.0.1:58500 deinit in write
info(Server): 127.0.0.1:58510 deinit in write
info(Server): 127.0.0.1:58516 deinit in write
info(Server): 127.0.0.1:58532 deinit in write
info(Server): 127.0.0.1:58548 deinit in write
info(Server): 127.0.0.1:58552 deinit in write
info(Server): 127.0.0.1:58562 deinit in write
info(Server): 127.0.0.1:58572 deinit in write
info(Server): 127.0.0.1:58582 deinit in write
info(Server): 127.0.0.1:58590 deinit in write
info(Server): 127.0.0.1:58592 deinit in write
info(Server): 127.0.0.1:58602 deinit in write
info(Server): 127.0.0.1:58604 deinit in write
info(Server): 127.0.0.1:58608 deinit in write
info(Server): 127.0.0.1:58620 deinit in write
info(Server): 127.0.0.1:58636 deinit in write
info(Server): 127.0.0.1:58638 deinit in write
info(Server): 127.0.0.1:58644 deinit in write
info(Server): 127.0.0.1:58660 deinit in write
info(Server): 127.0.0.1:58668 deinit in write
info(Server): 127.0.0.1:58680 deinit in write
info(Server): 127.0.0.1:58684 deinit in write
info(Server): 127.0.0.1:58696 deinit in write
info(Server): 127.0.0.1:58708 deinit in write
info(Server): 127.0.0.1:58718 deinit in write
info(Server): 127.0.0.1:58732 deinit in write
info(Server): 127.0.0.1:58738 deinit in write
info(Server): 127.0.0.1:58748 deinit in write
info(Server): 127.0.0.1:58752 deinit in write
info(Server): 127.0.0.1:58756 deinit in write
info(Server): 127.0.0.1:58764 deinit in write
info(Server): 127.0.0.1:58778 deinit in write
info(Server): 127.0.0.1:58788 deinit in write
info(Server): 127.0.0.1:58800 deinit in write
info(Server): 127.0.0.1:58808 deinit in write
info(Server): 127.0.0.1:58812 deinit in write
info(Server): 127.0.0.1:58816 deinit in write
info(Server): 127.0.0.1:58824 deinit in write
info(Server): 127.0.0.1:58832 deinit in write
info(Server): 127.0.0.1:58838 deinit in write
info(Server): 127.0.0.1:58844 deinit in write
info(Server): 127.0.0.1:58858 deinit in write
info(Server): 127.0.0.1:58860 deinit in write
info(Server): 127.0.0.1:58874 deinit in write
info(Server): 127.0.0.1:58878 deinit in write
info(Server): 127.0.0.1:58880 deinit in write
info(Server): 127.0.0.1:58886 deinit in write
info(Server): 127.0.0.1:58890 deinit in write
info(Server): 127.0.0.1:58900 deinit in write
info(Server): 127.0.0.1:58914 deinit in write
info(Server): 127.0.0.1:58926 deinit in write
info(Server): 127.0.0.1:58938 deinit in write
info(Server): 127.0.0.1:58944 deinit in write
info(Server): 127.0.0.1:58950 deinit in write
info(Server): 127.0.0.1:58958 deinit in write
info(Server): 127.0.0.1:58962 deinit in write
info(Server): 127.0.0.1:58972 deinit in write
info(Server): 127.0.0.1:58974 deinit in write
info(Server): 127.0.0.1:58976 deinit in write
info(Server): 127.0.0.1:58986 deinit in write
info(Server): 127.0.0.1:58988 deinit in write
info(Server): 127.0.0.1:58998 deinit in write
info(Server): 127.0.0.1:59014 deinit in write
info(Server): 127.0.0.1:59020 deinit in write
info(Server): 127.0.0.1:59030 deinit in write
info(Server): 127.0.0.1:59034 deinit in write
info(Server): 127.0.0.1:59038 deinit in write
info(Server): 127.0.0.1:59052 deinit in write
info(Server): 127.0.0.1:59058 deinit in write
info(Server): 127.0.0.1:59070 deinit in write
info(Server): 127.0.0.1:59076 deinit in write
info(Server): 127.0.0.1:59082 deinit in write
info(Server): 127.0.0.1:59096 deinit in write
info(Server): 127.0.0.1:59112 deinit in write
info(Server): 127.0.0.1:59116 deinit in write
info(Server): 127.0.0.1:59118 deinit in write
info(Server): 127.0.0.1:59130 deinit in write
info(Server): 127.0.0.1:59142 deinit in write
info(Server): 127.0.0.1:59158 deinit in write
info(Server): 127.0.0.1:59166 deinit in write
info(Server): 127.0.0.1:59172 deinit in write
info(Server): 127.0.0.1:59188 deinit in write
info(Server): 127.0.0.1:59196 deinit in write
info(Server): 127.0.0.1:59212 deinit in write
info(Server): 127.0.0.1:59214 deinit in write
info(Server): 127.0.0.1:59220 deinit in write
info(Server): 127.0.0.1:59222 deinit in write
info(Server): 127.0.0.1:59224 deinit in write
info(Server): 127.0.0.1:59228 deinit in write
info(Server): 127.0.0.1:59232 deinit in write
info(Server): 127.0.0.1:59238 deinit in write
info(Server): 127.0.0.1:59240 deinit in write
info(Server): 127.0.0.1:58412 deinit in write
info(Server): 127.0.0.1:58404 deinit in write
info(Server): 127.0.0.1:58430 deinit in write
info(Server): 127.0.0.1:59250 deinit in write
info(Server): 127.0.0.1:59252 deinit in write
info(Server): 127.0.0.1:59266 deinit in write
info(Server): 127.0.0.1:59272 deinit in write
info(Server): 127.0.0.1:59308 deinit in write
info(Server): 127.0.0.1:59324 deinit in write
info(Server): 127.0.0.1:59326 deinit in write
info(Server): 127.0.0.1:59342 deinit in write
info(Server): 127.0.0.1:59358 deinit in write
info(Server): 127.0.0.1:59372 deinit in write
info(Server): 127.0.0.1:59374 deinit in write
info(Server): 127.0.0.1:59386 deinit in write
info(Server): 127.0.0.1:59394 deinit in write
info(Server): 127.0.0.1:59400 deinit in write
